[03:37:53] CPU: 65.3% | RAM: 64.8% | Disk: 45.6% | Network: 0.00 MB/s
[03:37:55] CPU: 44.1% | RAM: 65.0% | Disk: 45.6% | Network: 0.75 MB/s
[03:37:56] CPU: 43.9% | RAM: 65.0% | Disk: 45.6% | Network: 0.62 MB/s
[03:37:57] CPU: 33.1% | RAM: 65.0% | Disk: 45.6% | Network: 0.63 MB/s
[03:37:58] CPU: 30.8% | RAM: 64.9% | Disk: 45.6% | Network: 0.68 MB/s
[03:37:59] CPU: 34.6% | RAM: 64.9% | Disk: 45.6% | Network: 0.47 MB/s
[03:38:00] CPU: 35.7% | RAM: 64.9% | Disk: 45.6% | Network: 0.61 MB/s
[03:38:01] CPU: 54.2% | RAM: 65.3% | Disk: 45.6% | Network: 0.57 MB/s
[03:38:02] CPU: 56.2% | RAM: 65.3% | Disk: 45.6% | Network: 0.44 MB/s
[03:38:03] CPU: 36.1% | RAM: 65.3% | Disk: 45.6% | Network: 0.83 MB/s
[03:38:04] CPU: 34.5% | RAM: 65.3% | Disk: 45.6% | Network: 0.54 MB/s
[03:38:05] CPU: 51.3% | RAM: 65.2% | Disk: 45.6% | Network: 0.55 MB/s
[03:38:06] CPU: 47.1% | RAM: 65.2% | Disk: 45.6% | Network: 0.56 MB/s
[03:38:07] CPU: 51.6% | RAM: 65.2% | Disk: 45.6% | Network: 0.39 MB/s
[03:38:08] CPU: 53.1% | RAM: 64.8% | Disk: 45.6% | Network: 0.40 MB/s
[03:38:09] CPU: 51.6% | RAM: 64.9% | Disk: 45.6% | Network: 0.40 MB/s
[03:38:10] CPU: 54.1% | RAM: 64.9% | Disk: 45.6% | Network: 0.44 MB/s
[03:38:11] CPU: 61.5% | RAM: 64.9% | Disk: 45.6% | Network: 0.47 MB/s
[03:38:12] CPU: 62.9% | RAM: 64.9% | Disk: 45.6% | Network: 0.49 MB/s
[03:38:14] CPU: 53.8% | RAM: 64.9% | Disk: 45.6% | Network: 0.46 MB/s
[03:38:15] CPU: 41.2% | RAM: 64.9% | Disk: 45.6% | Network: 0.45 MB/s
[03:38:16] CPU: 49.2% | RAM: 64.9% | Disk: 45.6% | Network: 0.49 MB/s
[03:38:17] CPU: 33.6% | RAM: 64.9% | Disk: 45.6% | Network: 0.41 MB/s
[03:38:18] CPU: 30.0% | RAM: 64.9% | Disk: 45.6% | Network: 0.37 MB/s
[03:38:19] CPU: 31.7% | RAM: 64.9% | Disk: 45.6% | Network: 0.37 MB/s
[03:38:20] CPU: 46.9% | RAM: 64.8% | Disk: 45.6% | Network: 0.37 MB/s
[03:38:21] CPU: 33.3% | RAM: 64.8% | Disk: 45.6% | Network: 0.40 MB/s
[03:38:22] CPU: 32.7% | RAM: 64.7% | Disk: 45.6% | Network: 0.63 MB/s
[03:38:23] CPU: 40.8% | RAM: 64.7% | Disk: 45.6% | Network: 0.47 MB/s
[03:38:24] CPU: 55.9% | RAM: 64.8% | Disk: 45.6% | Network: 0.42 MB/s
[03:38:25] CPU: 48.1% | RAM: 64.8% | Disk: 45.6% | Network: 0.68 MB/s
[03:38:26] CPU: 26.8% | RAM: 64.8% | Disk: 45.6% | Network: 0.54 MB/s
[03:38:27] CPU: 15.6% | RAM: 64.8% | Disk: 45.6% | Network: 0.43 MB/s
[03:38:28] CPU: 9.8% | RAM: 64.8% | Disk: 45.6% | Network: 0.55 MB/s
[03:38:29] CPU: 29.2% | RAM: 64.8% | Disk: 45.6% | Network: 0.55 MB/s
[03:38:30] CPU: 29.9% | RAM: 65.0% | Disk: 45.6% | Network: 0.57 MB/s
[03:38:31] CPU: 28.8% | RAM: 65.0% | Disk: 45.6% | Network: 0.43 MB/s
[03:38:32] CPU: 25.3% | RAM: 64.7% | Disk: 45.6% | Network: 0.42 MB/s
[03:38:33] CPU: 8.6% | RAM: 64.7% | Disk: 45.6% | Network: 0.63 MB/s
[03:38:34] CPU: 10.6% | RAM: 64.7% | Disk: 45.6% | Network: 0.48 MB/s
[03:38:35] CPU: 11.5% | RAM: 64.7% | Disk: 45.6% | Network: 0.39 MB/s
[03:51:05] CPU: 75.7% | RAM: 88.7% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:06] CPU: 55.3% | RAM: 88.9% | Disk: 45.7% | Network: 0.14 MB/s
[03:51:07] CPU: 59.5% | RAM: 88.8% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:08] CPU: 48.8% | RAM: 88.5% | Disk: 45.7% | Network: 0.07 MB/s
[03:51:09] CPU: 53.1% | RAM: 88.6% | Disk: 45.7% | Network: 0.02 MB/s
[03:51:11] CPU: 72.9% | RAM: 86.6% | Disk: 45.7% | Network: 0.05 MB/s
[03:51:12] CPU: 19.2% | RAM: 85.9% | Disk: 45.7% | Network: 0.20 MB/s
[03:51:13] CPU: 16.7% | RAM: 86.1% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:14] CPU: 15.6% | RAM: 86.0% | Disk: 45.7% | Network: 0.01 MB/s
[03:51:15] CPU: 12.4% | RAM: 84.8% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:16] CPU: 11.7% | RAM: 84.7% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:17] CPU: 10.9% | RAM: 84.8% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:18] CPU: 16.3% | RAM: 84.7% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:19] CPU: 18.5% | RAM: 84.7% | Disk: 45.7% | Network: 0.03 MB/s
[03:51:20] CPU: 14.9% | RAM: 84.8% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:21] CPU: 29.9% | RAM: 84.7% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:22] CPU: 34.4% | RAM: 84.7% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:23] CPU: 26.9% | RAM: 84.7% | Disk: 45.7% | Network: 0.21 MB/s
[03:51:24] CPU: 31.8% | RAM: 84.7% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:25] CPU: 30.4% | RAM: 84.7% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:26] CPU: 17.9% | RAM: 84.7% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:27] CPU: 9.6% | RAM: 84.7% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:28] CPU: 7.5% | RAM: 84.7% | Disk: 45.7% | Network: 0.02 MB/s
[03:51:29] CPU: 7.5% | RAM: 84.7% | Disk: 45.7% | Network: 0.03 MB/s
[03:51:30] CPU: 10.3% | RAM: 84.7% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:31] CPU: 18.9% | RAM: 84.7% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:32] CPU: 23.1% | RAM: 84.7% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:33] CPU: 22.6% | RAM: 84.7% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:34] CPU: 21.9% | RAM: 84.7% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:35] CPU: 17.9% | RAM: 84.6% | Disk: 45.7% | Network: 0.15 MB/s
[03:51:36] CPU: 12.4% | RAM: 84.7% | Disk: 45.7% | Network: 0.06 MB/s
[03:51:37] CPU: 11.7% | RAM: 84.6% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:38] CPU: 9.1% | RAM: 84.6% | Disk: 45.7% | Network: 0.03 MB/s
[03:51:39] CPU: 21.2% | RAM: 84.5% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:40] CPU: 4.9% | RAM: 84.5% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:41] CPU: 4.9% | RAM: 84.3% | Disk: 45.7% | Network: 0.00 MB/s
[03:51:42] CPU: 3.4% | RAM: 84.3% | Disk: 45.7% | Network: 0.01 MB/s
[03:51:43] CPU: 9.5% | RAM: 84.3% | Disk: 45.7% | Network: 0.22 MB/s
[03:51:44] CPU: 4.5% | RAM: 84.3% | Disk: 45.7% | Network: 0.01 MB/s
