[02:36:59] CPU: 52.1% | RAM: 84.4% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:00] CPU: 21.0% | RAM: 84.4% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:01] CPU: 33.0% | RAM: 84.2% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:02] CPU: 24.9% | RAM: 84.1% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:03] CPU: 4.9% | RAM: 84.2% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:04] CPU: 11.3% | RAM: 84.2% | Disk: 45.5% | Network: 0.24 MB/s
[02:37:05] CPU: 11.9% | RAM: 84.1% | Disk: 45.5% | Network: 0.01 MB/s
[02:37:06] CPU: 47.3% | RAM: 84.6% | Disk: 45.5% | Network: 0.01 MB/s
[02:37:07] CPU: 43.0% | RAM: 84.9% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:08] CPU: 33.8% | RAM: 84.7% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:09] CPU: 11.0% | RAM: 84.3% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:10] CPU: 14.6% | RAM: 84.2% | Disk: 45.5% | Network: 0.02 MB/s
[02:37:11] CPU: 14.8% | RAM: 84.3% | Disk: 45.5% | Network: 0.24 MB/s
[02:37:12] CPU: 25.5% | RAM: 84.1% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:13] CPU: 19.4% | RAM: 84.1% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:14] CPU: 16.2% | RAM: 84.1% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:15] CPU: 8.3% | RAM: 84.1% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:16] CPU: 15.5% | RAM: 84.0% | Disk: 45.5% | Network: 0.06 MB/s
[02:37:17] CPU: 22.6% | RAM: 84.3% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:18] CPU: 17.4% | RAM: 84.2% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:19] CPU: 3.4% | RAM: 84.1% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:20] CPU: 9.6% | RAM: 84.1% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:21] CPU: 12.5% | RAM: 84.0% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:22] CPU: 8.4% | RAM: 84.0% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:24] CPU: 17.6% | RAM: 84.2% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:25] CPU: 20.8% | RAM: 84.3% | Disk: 45.5% | Network: 0.24 MB/s
[02:37:26] CPU: 19.1% | RAM: 84.2% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:27] CPU: 18.7% | RAM: 84.3% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:28] CPU: 19.0% | RAM: 84.3% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:29] CPU: 13.0% | RAM: 84.2% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:30] CPU: 15.4% | RAM: 84.2% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:31] CPU: 15.1% | RAM: 84.4% | Disk: 45.5% | Network: 0.03 MB/s
[02:37:32] CPU: 14.5% | RAM: 84.4% | Disk: 45.5% | Network: 0.22 MB/s
[02:37:33] CPU: 14.4% | RAM: 84.4% | Disk: 45.5% | Network: 0.01 MB/s
[02:37:34] CPU: 8.3% | RAM: 84.4% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:35] CPU: 9.1% | RAM: 84.4% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:36] CPU: 9.2% | RAM: 84.2% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:37] CPU: 5.2% | RAM: 84.2% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:38] CPU: 7.2% | RAM: 84.1% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:39] CPU: 9.5% | RAM: 83.8% | Disk: 45.5% | Network: 0.24 MB/s
[02:37:40] CPU: 11.1% | RAM: 83.8% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:41] CPU: 11.3% | RAM: 83.2% | Disk: 45.5% | Network: 0.00 MB/s
[02:37:42] CPU: 15.2% | RAM: 83.1% | Disk: 45.5% | Network: 0.00 MB/s
